id;timestamp;value;meter_port_id;created;last_modified
83174118;2015-09-21 03:37:51.392+02;46429432000;24;2015-09-21 03:37:51.4294+02;2015-09-21 03:37:51.429431+02
83174132;2015-09-21 03:37:59.551+02;30254000;30;2015-09-21 03:37:59.616121+02;2015-09-21 03:37:59.616153+02
83174155;2015-09-21 03:38:11.389+02;46429432000;24;2015-09-21 03:38:11.429166+02;2015-09-21 03:38:11.429199+02
83174168;2015-09-21 03:38:19.546+02;24000;31;2015-09-21 03:38:19.616094+02;2015-09-21 03:38:19.616129+02
83174250;2015-09-21 03:38:34+02;49950;1292;2015-09-21 03:39:09.655663+02;2015-09-21 03:39:09.655726+02
83174248;2015-09-21 03:38:34+02;235527;1286;2015-09-21 03:39:08.936433+02;2015-09-21 03:39:08.936464+02
83174247;2015-09-21 03:38:34+02;2261;1283;2015-09-21 03:39:08.769597+02;2015-09-21 03:39:08.769628+02
83174216;2015-09-21 03:38:51.064+02;137519000;28;2015-09-21 03:38:51.108003+02;2015-09-21 03:38:51.108035+02
83174218;2015-09-21 03:38:51.386+02;46429436000;24;2015-09-21 03:38:51.434308+02;2015-09-21 03:38:51.43434+02
83174232;2015-09-21 03:38:59.546+02;30255000;30;2015-09-21 03:38:59.62066+02;2015-09-21 03:38:59.620693+02
83174255;2015-09-21 03:39:11.393+02;46429436000;24;2015-09-21 03:39:11.444026+02;2015-09-21 03:39:11.444057+02
83174269;2015-09-21 03:39:19.551+02;25000;31;2015-09-21 03:39:19.661457+02;2015-09-21 03:39:19.66149+02
83174316;2015-09-21 03:39:51.067+02;8000;29;2015-09-21 03:39:51.151336+02;2015-09-21 03:39:51.151375+02
83174315;2015-09-21 03:39:51.067+02;137519000;28;2015-09-21 03:39:51.106544+02;2015-09-21 03:39:51.106577+02
83174318;2015-09-21 03:39:51.387+02;597000;25;2015-09-21 03:39:51.45962+02;2015-09-21 03:39:51.459654+02
83174332;2015-09-21 03:39:59.554+02;24000;31;2015-09-21 03:39:59.690498+02;2015-09-21 03:39:59.690532+02
83174331;2015-09-21 03:39:59.554+02;30255000;30;2015-09-21 03:39:59.6449+02;2015-09-21 03:39:59.644942+02
83174354;2015-09-21 03:40:11.064+02;6000;29;2015-09-21 03:40:11.153738+02;2015-09-21 03:40:11.153774+02
